,Unnamed: 0,Unnamed: 1,PRODUCCION,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
4,1 / 1,E120 / MATUTINO,0085786 0086088,303,2115 / 2122,,,
5,1 / 1,E124 / MATUTINO,0086089 0086122,34,2123 / 2123,,,
6,1 / 1,E133 / MATUTINO,0086123 0086226,104,2124 / 2126,,,
7,1 / 1,E032 / MATUTINO,0086227 0086940,714,2127 / 2143,,,
8,1 / 1,E032 / VESPERTINO,0086941 0087654,714,2144 / 2160,,,
9,1 / 1,E033 / MATUTINO,0087655 0088410,756,2161 / 2178,,,
10,1 / 1,E033 / VESPERTINO,0088411 0089166,756,2179 / 2196,,,
11,1 / 1,E034 / MATUTINO,0089167 0089306,140,2197 / 2200,,,
12,1 / 1,E085 / MATUTINO,0089307 0089891,585,2201 / 2214,,,
13,1 / 1,E001 / MATUTINO,0089892 0090395,504,2215 / 2226,,,
14,1 / 1,E001 / VESPERTINO,0090396 0090854,459,2227 / 2237,,,
15,1 / 1,E020 / MATUTINO,0090855 0091356,502,2238 / 2249,,,
16,1 / 1,E020 / VESPERTINO,0091357 0091860,504,2250 / 2261,,,
17,1 / 1,E021 / MATUTINO,0091861 0092532,672,2262 / 2277,,,
18,1 / 1,E021 / VESPERTINO,0092533 0093204,672,2278 / 2293,,,
19,1 / 1,E093 / MATUTINO,0093205 0093834,630,2294 / 2308,,,
20,1 / 1,E093 / VESPERTINO,0093835 0094464,630,2309 / 2323,,,
21,1 / 1,E094 / MATUTINO,0094465 0095598,1134,2324 / 2350,,,
22,1 / 1,E094 / VESPERTINO,0095599 0096608,1010,2351 / 2375,,,
23,1 / 1,E015 / MATUTINO,0096609 0097364,756,2376 / 2393,,,
24,1 / 1,E015 / VESPERTINO,0097365 0098120,756,2394 / 2411,,,
25,1 / 1,E016 / MATUTINO,0098121 0098792,672,2412 / 2427,,,
26,1 / 1,E016 / VESPERTINO,0098793 0099464,672,2428 / 2443,,,
27,1 / 1,E017 / MATUTINO,0099465 0100094,630,2444 / 2458,,,
28,1 / 1,E017 / VESPERTINO,0100095 0100637,543,2459 / 2471,,,
29,1 / 1,E022 / MATUTINO,0100638 0101267,630,2472 / 2486,,,
30,1 / 1,E022 / VESPERTINO,0101268 0101895,628,2487 / 2501,,,
31,1 / 1,E023 / MATUTINO,0101896 0102636,741,2502 / 2520,,,
32,1 / 1,E023 / VESPERTINO,0102637 0103377,741,2521 / 2539,,,
33,1 / 1,E024 / MATUTINO,0103378 0104007,630,2540 / 2554,,,
34,1 / 1,E024 / VESPERTINO,0104008 0104637,630,2555 / 2569,,,
35,1 / 1,E025 / MATUTINO,0104638 0105015,378,2570 / 2578,,,
36,1 / 1,E025 / VESPERTINO,0105016 0105393,378,2579 / 2587,,,
37,1 / 1,E026 / MATUTINO,0105394 0105771,378,2588 / 2596,,,
38,1 / 1,E026 / VESPERTINO,0105772 0106149,378,2597 / 2605,,,
39,1 / 1,E027 / MATUTINO,0106150 0106160,11,2606 / 2606,,,
40,1 / 1,E051 / MATUTINO,0106161 0106622,462,2607 / 2617,,,
41,1 / 1,E051 / VESPERTINO,0106623 0106860,238,2618 / 2623,,,
42,1 / 1,E066 / MATUTINO,0106861 0107574,714,2624 / 2640,,,
43,1 / 1,E066 / VESPERTINO,0107575 0108288,714,2641 / 2657,,,
44,1 / 1,E067 / MATUTINO,0108289 0108918,630,2658 / 2672,,,
45,1 / 1,E067 / VESPERTINO,0108919 0109548,630,2673 / 2687,,,
46,1 / 1,E068 / MATUTINO,0109549 0110262,714,2688 / 2704,,,
47,1 / 1,E068 / VESPERTINO,0110263 0110287,25,2705 / 2705,,,
48,1 / 1,E081 / MATUTINO,0110288 0110498,211,2706 / 2711,,,
49,1 / 1,E082 / MATUTINO,0110499 0111128,630,2712 / 2726,,,
50,1 / 1,E082 / VESPERTINO,0111129 0111758,630,2727 / 2741,,,
51,1 / 1,E083 / MATUTINO,0111759 0112220,462,2742 / 2752,,,
52,1 / 1,E083 / VESPERTINO,0112221 0112221,1,2753 / 2753,,,
53,1 / 1,E126 / MATUTINO,0112222 0112851,630,2754 / 2768,,,
54,1 / 1,E126 / VESPERTINO,0112852 0113481,630,2769 / 2783,,,
0,ENVIO,SEDE,,ENVIOS,CABECEROS,FECHA,TURNO,REVISO
1,,,INICIAL FINAL,,,,,
2,1 / 1,E127 / MATUTINO,0113482 0114291,810,2784 / 2801,,,
3,1 / 1,E127 / VESPERTINO,0114292 0114963,672,2802 / 2816,,,
